dialog_id,turn_id,user_utterance,intent,book_language,cefr_level,book_topic,learning_goal,price_range,book_format,dm_action,gold_title,nlg_expected
D9,1,"Need Japanese B2 comprehensive textbook.",get_recommendation,ja,B2,coursebook,academic,,paperback,provide_info,"Tobira: Gateway to Advanced Japanese","Here are B2 Japanese comprehensive textbooks."
D9,2,"Ok, I'll buy Tobira.",checkout,ja,B2,coursebook,academic,,paperback,confirm,"Tobira: Gateway to Advanced Japanese","Confirm purchase of 'Tobira: Gateway to Advanced Japanese'?"
D9,3,"Confirm.",checkout,ja,B2,coursebook,academic,,paperback,provide_info,"Tobira: Gateway to Advanced Japanese","Order placed. A receipt has been sent."
D10,1,"Italian C2 exam prep for CILS.",get_recommendation,it,C2,exam_preparation,exam_preparation,,paperback,provide_info,"Preparazione al CILS C2 (Quaderni di pratica)","Here are C2 CILS preparation books."
D10,2,"Any advanced grammar option?",get_recommendation,it,C2,grammar,academic,,paperback,provide_info,"Grammatica avanzata della lingua italiana","Alternative: Grammatica avanzata della lingua italiana."
D11,1,"Hi there!",small_talk,,,,,,small_talk,,"Hello! How can I help you find a language book today?"
D11,2,"I'm learning Japanese but not sure my level.",get_recommendation,ja,,,,,,request_info,,"What is your current CEFR level (A1–C2)?"
D11,3,"Maybe A2.",get_recommendation,ja,A2,coursebook,general,,,request_info,,,"Any preference on topic (coursebook vs exam prep)?"
D11,4,"Coursebook please.",get_recommendation,ja,A2,coursebook,general,,,recommend,"Genki II (3rd Ed.)","Recommended: Genki II (3rd Ed.)."
D12,1,"Show me English B1 grammar under 40.",get_recommendation,en,B1,grammar,general,<=40,paperback,provide_info,"English Grammar in Use (5th Ed.)","Recommended: English Grammar in Use (5th Ed.) around \$38.99."
D12,2,"Paperback only and in stock.",get_recommendation,en,B1,grammar,general,<=40,paperback,provide_info,"English Grammar in Use (5th Ed.)","Filtered to paperback; available."
D13,1,"German C1 main coursebook suggestions.",get_recommendation,de,C1,coursebook,general,,paperback,provide_info,"Sicher! C1 Kursbuch","Here are C1 German coursebooks."
D13,2,"Alternative from Aspekte?",get_recommendation,de,C1,coursebook,general,,paperback,provide_info,"Aspekte neu C1","Alternative: Aspekte neu C1."
D14,1,"French B2 method with media.",get_recommendation,fr,B2,coursebook,general,,paperback,provide_info,"Édito B2 (Méthode de français)","Here are B2 method/coursebooks."
D14,2,"Another B2 option?",get_recommendation,fr,B2,coursebook,general,,paperback,provide_info,"Alter Ego+ B2","Alternative: Alter Ego+ B2."
D15,1,"Spanish A1 beginner course.",get_recommendation,es,A1,coursebook,general,,paperback,provide_info,"Aula Internacional 1 (Nueva edición)","Here are A1 beginner coursebooks."
D15,2,"Need grammar-focused instead.",get_recommendation,es,A1,grammar,general,,paperback,provide_info,"Gramática de uso del español A1–A2","Grammar option: Gramática de uso del español A1–A2."
D16,1,"Chinese A1 with HSK focus.",get_recommendation,zh,A1,exam_preparation,exam_preparation,,paperback,provide_info,"HSK Standard Course 1","HSK-oriented A1 materials."
D16,2,"Or a general coursebook?",get_recommendation,zh,A1,coursebook,general,,paperback,provide_info,"Integrated Chinese 1 (4th Ed.)","General coursebook: Integrated Chinese 1 (4th Ed.)."
D17,1,"Italian A2 coursebook around \$35.",get_recommendation,it,A2,coursebook,general,<=36,paperback,provide_info,"Nuovo Espresso 2","Recommended: Nuovo Espresso 2."
D17,2,"Any Progetto Italiano option?",get_recommendation,it,A2,coursebook,general,<=36,paperback,provide_info,"Nuovo Progetto Italiano 1b","Alternative: Nuovo Progetto Italiano 1b."
